"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","Notes"
"Spleenocytes_Tcells_Vaccinated_aCD8_003","Determining the role of CD4+ and CD8+ T-cells in the LST response - aCD8_003",3.19,NA,"FCS","http://flowrepository.org/id/FR-FCM-Z6UG","Oct 2023","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/FFC/fcs/ffc_5fcs.Rds","","using flowCore::read.flowSet to read the fcs files"
"Spleenocytes_Tcells_Vaccinated_GK15__2_007","Determining the role of CD4+ and CD8+ T-cells in the LST response - GK15__2_007",3.19,NA,"FCS","http://flowrepository.org/id/FR-FCM-Z6UG","Oct 2023","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/FFC/fcs/ffc_5fcs.Rds","","using flowCore::read.flowSet to read the fcs files"
"Spleenocytes_Tcells_Vaccinated_GK15__3_009","Determining the role of CD4+ and CD8+ T-cells in the LST response - GK15__3_009",3.19,NA,"FCS","http://flowrepository.org/id/FR-FCM-Z6UG","Oct 2023","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/FFC/fcs/ffc_5fcs.Rds","","using flowCore::read.flowSet to read the fcs files"
"Spleenocytes_Tcells_Vaccinated_GK15_006","Determining the role of CD4+ and CD8+ T-cells in the LST response - GK15_006",3.19,NA,"FCS","http://flowrepository.org/id/FR-FCM-Z6UG","Oct 2023","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/FFC/fcs/ffc_5fcs.Rds","","using flowCore::read.flowSet to read the fcs files"
"Spleenocytes_Tcells_Vaccinated_Saline_004","Determining the role of CD4+ and CD8+ T-cells in the LST response - Undepleted",3.19,NA,"FCS","http://flowrepository.org/id/FR-FCM-Z6UG","Oct 2023","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/FFC/fcs/ffc_5fcs.Rds","","using flowCore::read.flowSet to read the fcs files"
"filename_meta.csv","batch information of the Spleenocytes fcs files",3.19,NA,"CSV","https://github.com/HsiaoChiLiao/MapfxData","Mar 2024","Mus musculus",NA,TRUE,"Hsiao-Chi Liao","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","Rds","MapfxData/FFC/meta/filename_meta.Rds","","filename_meta for MAPFX package"
"backbone_Plate1_Specimen_001_A1_A01_001_target_Blank","Infinity Flow analysis of the murine lung at steady state -Well P1_A01",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A2_A02_002_target_CD1","Infinity Flow analysis of the murine lung at steady state -Well P1_A02",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A3_A03_003_target_CD2","Infinity Flow analysis of the murine lung at steady state -Well P1_A03",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
"backbone_Plate1_Specimen_001_A4_A04_004_target_CD3","Infinity Flow analysis of the murine lung at steady state -Well P1_A04",3.19,NA,"FCS","https://flowrepository.org/id/FR-FCM-Z2LP","Jun 2020","Mus musculus",NA,TRUE,"FlowRepository","Bioconductor Package Maintainer <maintainer@bioconductor.org>","flowSet","Rds","MapfxData/MPC/fcs/mpc_266fcs.Rds","","using flowCore::read.flowSet to read the fcs files; the fcs file containing a subset of cells from the source"
